SUBTRANSECTO,CONTEO,N_INVESTIGATOR,ALTITUD,DEG,CHIL,RH_C,HI,DP,BULB,BARO,ALT,SPD,TC,TS,LHC,LONG_COLA,LONG_TOTAL,PESO,TEMP_ASF,TEMP_SUELO,CARROS_TUX,CARROS_OAX,TOTAL_CARROS,AÑO,SEMANA,DIA,DIAYEAR,TRANSECTO,RECORRIDO,VIVO,MUERTO,CAÑADA,ESCURRIMIENTOS,MES,TURNO,DIAWEEK,CLASE,GENERO,ESPECIE,DIRECCION,UBICACION_T,CONDICION,TEMPORADA,ALTITUD_MEAN,DIST_ELECTRICOS_MEAN,DIST_PENDIENTE_MEAN,DIST_RIOS_MEAN,DIST_AGRICOLA_MEAN,DIST_URBANIZACION_MEAN,NDWI_AGUA_MEAN,NDMI_HUMEDAD_MEAN,NDVI_VEGETACION_MEAN,LST_TEMPERATURA_MEAN
1,14,2,1611.4206456428572,17.2,17,92.42857142857143,17.35,15.835714285714285,16.107142857142858,25.030714285714286,1495.7142857142858,0.3357142857142857,15.2,16.454545454545453,7.069,3.7249999999999996,13.33,5.633333333333333,16.642857142857142,15.930769230769231,14.785714285714286,21.5,37.714285714285715,2021,21,17,302,1,9,0,1,0,0,octubre,noche,miércoles,Amphibia,Charadrahyla,Geophis duellmani,De arriba hacia abajo,Arriba,MUERTO,SEQUIA,1627.3333333333333,89.45515081626111,26.90786414675,542.0519765219444,0,250.33981662327778,-0.3770725855740741,0.23235543252777777,0.3718173370648148,15.450084437129629
2,15,2,1626.455713,17.82,17.613333333333333,91.62666666666667,17.793333333333333,16.293333333333333,16.653333333333332,24.824666666666666,1527.0666666666666,0.58,17.232738095238094,18.25,5.195555555555556,5.6117513227513225,26.384429052429052,8.922604166666666,18.293333333333333,17.393333333333334,13.666666666666666,22.066666666666666,35.733333333333334,2021,43,25,298,1,50,0,1,0,0,octubre,noche,lunes,Amphibia,Incilius,Incilius espiculatus,De arriba hacia abajo,Arriba,MUERTO,LLUVIAS,1638.8333333333333,45,16.8393514951,719.0684950086667,0,69.54688135782777,-0.3105577176388889,0.19858381400925926,0.29461878005555553,14.738252584907407
3,36,2,1641.6266265,16.9375,16.834375,92.2235294117647,17.14375,15.553125,15.902941176470588,24.853437500000002,1540.3125,0.538235294117647,16.833333333333336,18.09032258064516,5.446818181818182,4.795,10.761818181818182,4,18.0375,16.761290322580646,14.606060606060606,18.151515151515152,33.6764705882353,2021,43,22,234,1,60,0,1,1,1,octubre,noche,viernes,Amphibia,Charadrahyla,Ptychohyla zophodes,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1642.6666666666667,58.81878026326111,22.186307536233333,1006.8923238115,0,124.31281450061111,-0.26897380712962965,0.21824119966666666,0.29490782489814815,14.77041039601852
4,15,2,1655.9150634,16.98181818181818,16.990909090909092,89.92857142857143,16.727272727272727,15.3,15.642857142857142,24.845454545454547,1541.909090909091,0.22857142857142856,20.8,17.15,4.548,1.14,9.13,2.4,17.057142857142857,16.264285714285716,13,16.928571428571427,31.428571428571427,2020,43,27,301,1,8,0,1,0,0,octubre,noche,martes,Amphibia,Ptychohyla,Ptychohyla zophodes,De arriba hacia abajo,Arriba,MUERTO,TRANSICIÓN DE LLUVIAS A SECAS,1662.3333333333333,83.17685572309445,25.979733996916668,1271.5230577266666,0,137.81368382778334,-0.3399376201388889,0.25927965835185185,0.3602325185648148,14.901860628703703
5,14,2,1654.8328073571429,17.625,17.5,90.80714285714286,18.014285714285712,16.385714285714286,16.7,24.8225,1549.8333333333333,0.5142857142857142,20.6,18.591666666666665,17.331111111111113,5.322857142857143,25.41857142857143,6.6,18.625,16.808333333333334,16.416666666666668,14.916666666666666,35.857142857142854,2021,43,24,141,2,3,0,1,1,0,octubre,mañana,viernes,Reptilia,Geophis,Geophis duellmani,De arriba hacia abajo,Abajo,MUERTO,LLUVIAS,1658.388888888889,214.18211576677777,35.102474000727774,1018.6808607323889,0,440.40747070311113,-0.3459240350092593,0.23297559030555556,0.33950758807407405,14.368886625462963
6,10,2,1654.9477539,17.866666666666667,17.81111111111111,93.72,18.21,16.78,17.872,24.817777777777778,1551,0.77,18.533333333333335,18.38888888888889,16.30666666666667,11.326666666666666,38.35,12.15,18.38888888888889,17.7,11,13.333333333333334,28.2,2021,34,22,298,2,60,0,1,0,0,agosto,mañana,lunes,Amphibia,Charadrahyla,Charadrahyla nephila,De arriba hacia abajo,Abajo,MUERTO,LLUVIAS,1655.611111111111,54.363612704805554,28.970928298105555,862.6122538248334,0,647.2620747885001,-0.35266696096296296,0.21913656221296296,0.3599166039351852,14.859792170648149
7,7,2,1658.4906878571428,17.814285714285713,17.614285714285714,95.67142857142856,18.37142857142857,17.2,17.314285714285713,24.875714285714285,1531,0.2,20.3,18.383333333333333,9.866666666666667,5.779999999999999,23,8.922604166666666,18.442857142857143,17.34285714285714,17.142857142857142,15.714285714285714,32.857142857142854,2021,21,25,145,2,43,0,1,0,0,mayo,noche,martes,Amphibia,Geophis,Geophis duellmani,De abajo hacia arriba,Arriba,MUERTO,TRANSICION DE SECAS A LLUVIA,1674.0555555555557,36.989142947716665,33.5706929101,660.9776713053334,0,856.4611172146667,-0.38929499075,0.23838892933333333,0.4071828200185185,15.35917163388889
8,9,2,1745.3944635555556,17.322222222222223,17.22222222222222,92.47777777777777,17.53333333333333,15.877777777777778,16.177777777777777,24.87,1540.3333333333333,0.5888888888888889,17,18.075,10.914285714285715,6.6450000000000005,36.685,8.922604166666666,18,17.18888888888889,12.555555555555555,11.444444444444445,24,2021,21,22,146,2,45,0,1,1,0,mayo,noche,miércoles,Amphibia,Craugastor,Craugastor sp.,De abajo hacia arriba,Abajo,MUERTO,TRANSICION DE SECAS A LLUVIA,1640.888888888889,141.97824096687776,36.38008901807222,542.0770195856111,0,1075.2787204314445,-0.3819964360185185,0.2303859769537037,0.4113107006018519,15.769565661203703
9,6,2,1732.9692381666666,18.05,17.9,92.63333333333333,18.45,16.96666666666667,17.2,24.575,1631.3333333333333,0.5166666666666667,22,18.92,10.4475,3.0300000000000002,14.883333333333335,3.4,18.916666666666668,17.8,14.5,16.5,32.666666666666664,2021,43,26,299,3,68,0,1,0,0,octubre,noche,martes,Reptilia,Chryophis,Chryophis hallbergi,De arriba hacia abajo,Arriba,MUERTO,LLUVIAS,1777.611111111111,202.359093984,37.72025574578889,805.5832112628889,450.8326449923333,1998.3596598316667,-0.28111961992592593,0.1835350165,0.27982622208333335,13.37657820511111
10,7,2,1785.3989434285713,16.357142857142858,16.214285714285715,94.52857142857142,16.571428571428573,15.428571428571429,15.628571428571428,24.61714285714286,1617.4285714285713,0.2571428571428571,17.232738095238094,17.385714285714286,13.272499999999999,4.43,19.35,3.65,17.385714285714286,15.785714285714285,15.571428571428571,20.428571428571427,36,2021,11,21,71,3,25,0,1,0,0,marzo,noche,viernes,Amphibia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1785.5555555555557,434.6395297580556,41.50643963284445,842.4429660373333,425.296013726,2234.3989935994446,-0.2924036189814815,0.1768573577962963,0.28773174382407407,12.99205977012963
